Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
17,1,36,31,0.006523604175181457,107,0.2524622678756714
29,2,45,19,0.00927577783376112,62,0.05256223306059837
22,1,34,18,0.006484635004917255,121,0.29158738255500793
23,1,44,18,0.001993683324830348,85,0.26513174176216125
17,1,32,18,0.008945838134943767,72,0.28862011432647705
18,2,61,22,0.0031778718778910906,36,0.03697049990296364
21,1,46,22,0.006739487767404548,119,0.2080511897802353
32,1,62,23,0.0015121158203134132,38,0.24573677778244019
22,2,56,23,0.0046016174201760065,45,0.0365324430167675
29,1,52,19,0.0005428446991924394,61,0.28941527009010315
19,2,60,25,0.009016419785088749,90,0.04611379653215408
32,3,42,32,0.009921528702935667,96,0.04723565652966499
32,3,55,16,0.006391890789330697,93,0.03141927719116211
27,1,63,27,0.0022680941212282844,83,0.2299642115831375
31,3,45,24,0.003900578631733448,51,1.1145204305648804
28,1,56,31,0.007118067746376091,61,1.137482762336731
22,2,60,25,0.0015855797523747462,47,2.1433534622192383
19,3,59,29,0.006880684406740005,84,1.1008905172348022
20,2,56,19,0.003144336300916353,87,2.0638227462768555
23,3,33,26,0.0069530496508249315,59,0.7881746888160706
30,2,49,23,0.0042886051145206204,120,1.8608996868133545
18,3,62,26,0.00608784030079629,60,0.8187222480773926
27,1,45,18,0.005952140695982301,124,1.8850926160812378
20,3,50,32,0.0011857103121677617,93,2.2424511909484863
26,1,61,31,0.008004842478178772,67,1.3818670511245728
28,1,33,21,0.008248840697494939,85,1.6186740398406982
31,2,52,28,0.005967783323776939,50,0.807852566242218
26,2,42,24,0.0014396291644129173,47,2.251058340072632
30,1,44,27,0.009883490902374045,93,1.1106122732162476
16,3,37,31,0.0028004450024853725,36,1.733937382698059
24,3,38,23,0.0011508725174554544,114,2.2691214084625244
26,1,51,31,0.0016550108254591066,59,2.2228126525878906
19,3,37,32,0.006573419674908782,98,1.3491544723510742
18,3,34,24,0.0046728587156466715,106,2.104731798171997
25,1,44,20,0.005542927716395684,52,1.6859307289123535
24,1,41,26,0.009139600859650954,121,1.667962670326233
26,1,63,31,0.004618341735283028,59,1.8325495719909668
20,1,52,22,0.008302470224454678,38,1.3333653211593628
27,3,42,17,0.0036651122983761865,90,1.8914939165115356
22,1,60,26,0.007546380702612768,56,1.107465386390686
24,2,35,19,0.007152478882786407,58,0.9158704876899719
22,1,33,29,0.003206147042408403,115,2.228548288345337
29,3,57,22,0.007923394930978983,99,0.6706914305686951
17,1,39,30,0.001305003391207598,107,2.2882111072540283
32,1,64,17,0.00507808429454877,101,1.7896888256072998
22,2,58,16,0.006207474131896135,122,1.2634334564208984
28,1,44,29,0.0032625662931148078,63,2.119678497314453
21,1,64,16,0.004821324775966915,50,1.9680235385894775
26,1,38,28,0.005430995496848229,81,1.7255558967590332
24,1,58,32,0.001830831924238701,64,2.164578437805176
21,3,34,30,0.0017380376236391139,126,2.24418044090271
28,2,40,24,0.006072820414928293,94,1.2785767316818237
18,1,50,18,0.0026176434136124306,69,2.1390137672424316
24,1,46,17,0.007324632151855319,36,1.4662959575653076
29,3,39,22,0.00464435309073426,117,1.4311350584030151
19,2,41,32,0.004310181469058785,111,1.9591602087020874
32,3,57,31,0.005464127824046012,51,0.8147063255310059
19,1,39,32,0.008849805562707985,97,1.6579862833023071
24,1,38,22,0.00874708615893497,82,1.3457796573638916
17,2,61,32,0.0014990864425433134,41,2.185969352722168
26,3,49,29,0.005508415809567301,84,0.8783902525901794
20,1,38,25,0.005442505330841397,115,2.1011576652526855
20,1,40,18,0.0012404849528669824,64,2.2680106163024902
17,2,59,18,0.0022002055936106227,73,2.1491963863372803
23,2,42,17,0.008655265560210974,32,0.70297771692276
23,2,62,25,0.00023404531598410547,115,2.282651662826538
30,3,58,32,0.0025829184761903233,66,1.9600398540496826
30,3,37,27,0.002234621559958765,56,1.9050788879394531
25,1,52,24,0.0012844629718604186,122,2.2509043216705322
26,2,40,31,0.005640459691753429,121,1.7460108995437622
16,1,38,16,0.002069141495704529,88,2.2402617931365967
23,3,43,22,0.004144290137203966,105,1.8568522930145264
32,1,60,23,0.00554567246365632,66,1.5721409320831299
32,3,37,29,0.00353074978800756,50,1.472747564315796
19,3,63,26,0.007012387595401327,85,0.8167388439178467
17,2,52,32,0.0067192979104222054,55,0.7448880672454834
24,2,50,21,0.0017991985488380558,93,2.1759414672851562
21,2,54,31,0.0026944425623998546,124,2.178541421890259
25,2,35,22,0.0059890648825177,93,1.8598535060882568
17,3,45,21,0.001195211514214617,38,2.2118988037109375
25,1,47,32,0.003533345761569356,41,1.8665300607681274
17,3,46,31,0.008336574684138757,123,0.8472855687141418
22,1,57,18,0.005064709327351425,79,2.125504970550537
32,3,58,23,0.006022753625931867,75,0.6777895092964172
23,3,45,27,0.007778600204095032,34,0.4577861428260803
32,2,34,19,0.0008479051265447796,39,2.226067543029785
29,2,37,23,0.009824369206110059,56,0.592549204826355
24,3,62,16,0.007796727896003239,105,0.7153320908546448
20,3,36,24,0.009831972464849736,122,0.8243696689605713
29,2,50,27,0.006254089218958303,125,1.191890001296997
23,2,56,24,0.004405931573122116,70,1.5342729091644287
27,1,53,16,0.003268057709959826,78,2.0868136882781982
31,3,56,29,0.005549146292004895,65,0.837598443031311
20,2,34,19,0.0025977183599972175,126,2.2182536125183105
30,2,57,18,0.005039063141525389,93,1.6294386386871338
25,1,54,27,0.008473483846901577,56,1.273689866065979
29,3,60,30,0.006349498221751973,32,0.4519578218460083
27,1,33,26,0.004696320311498672,108,2.1657891273498535
18,3,45,16,0.004250882327491045,96,1.9108701944351196
16,1,62,30,0.008044820840684775,54,1.288393497467041
29,3,59,32,0.0032415361065136297,84,1.6338261365890503
27,3,59,20,0.0046046872128862725,69,1.1404296159744263
25,2,35,29,0.00012359954315429198,35,2.301853656768799
27,3,54,23,0.009736940047729292,64,0.4373171627521515
19,2,39,27,0.007997550441273102,36,0.6800404787063599
31,3,45,32,0.0015472823411612593,121,2.2026615142822266
19,2,59,28,0.005359828975455239,108,1.8666630983352661
28,1,32,25,0.007457436354329518,107,1.9677612781524658
23,3,35,29,0.0075469400769257134,76,0.8479325771331787
16,3,51,20,0.005944261903793434,37,1.0225454568862915
25,2,53,31,0.0011259682699666556,127,2.271153211593628
25,2,47,20,0.00036175553630062013,79,2.280416250228882
22,3,59,22,0.00836535168354868,125,1.0818513631820679
22,1,41,22,0.006121299606498536,44,0.447021484375
17,2,55,24,0.004930960768012486,115,0.2511032223701477
32,1,39,24,0.0005006351901663207,121,2.018253803253174
19,2,41,28,0.0071388162631409475,46,0.14974097907543182
20,3,40,26,0.00024135512557040798,92,2.1244685649871826
23,3,56,28,0.005812404223836368,73,0.13248226046562195
22,3,33,22,0.006198415868230919,34,0.10472380369901657
29,1,34,26,0.004338212570906797,88,0.5281298160552979
22,3,55,27,0.0054033613543799435,52,0.1116868257522583
18,2,32,20,0.0052970649967111144,120,0.25608277320861816
19,1,58,22,0.007173990526168421,101,0.47791191935539246
19,2,63,32,0.0021141419565158634,70,0.32244807481765747
29,1,35,28,0.005017146259793215,41,0.41719573736190796
31,2,53,19,0.003261055026655989,53,0.2432176172733307
20,3,51,31,0.0052319700181231235,44,0.12998953461647034
18,1,38,21,0.00021694333617612658,63,2.272810697555542
18,3,54,32,0.003993934985382449,123,0.25491058826446533
26,3,60,22,0.008748980596561822,60,0.0852431133389473
18,3,42,19,0.0003445876093394985,67,1.6876909732818604
22,3,63,22,0.002992706930663669,126,0.2319909632205963
27,2,37,29,0.005027120490364215,98,0.239359050989151
24,1,37,22,0.009634870176390942,89,0.412728875875473
24,2,37,31,0.007658553946976312,50,0.12253572791814804
26,1,46,22,0.008503723730229387,89,0.4092860817909241
23,3,59,31,0.009259806581171105,118,0.11116191744804382
28,1,60,16,0.0012078761729111406,81,1.121427297592163
31,1,50,25,0.0056175717470486304,33,0.3969798684120178
25,2,44,28,0.003916870692042983,107,0.3067454695701599
32,1,32,20,0.00756804219737642,35,0.35090330243110657
