Optimizer,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adamax,185,82,0.0012966746799055395,127,0.1098310798406601
Adagrad,151,192,0.009009047224030332,82,0.2603171765804291
Nadam,172,60,0.007697490992575738,36,0.080028235912323
SGD,153,74,0.007670131517065325,70,0.37221142649650574
Adamax,198,192,0.003934695803263972,62,0.03702842444181442
AdamW,136,189,0.0004616657476279467,57,0.06427417695522308
Adadelta,190,114,0.003403461077730111,118,1.8222346305847168
Adagrad,154,38,0.0016456300513873624,39,0.44033241271972656
AdamW,167,146,0.007938723579655114,62,0.07780446112155914
Adam,138,211,0.0017065948433749214,77,0.03898113965988159
Adafactor,240,39,0.0014664636853296224,34,nan
SGD,153,143,0.001105958009754111,84,1.8328046798706055
Adafactor,237,89,0.0018272943199334384,50,nan
Ftrl,163,149,0.008325576650928486,83,2.301193952560425
Nadam,177,238,0.002275568970179931,104,0.036985546350479126
Ftrl,168,40,0.004267302491339697,52,2.3012773990631104
Adam,207,150,0.004260265581619342,83,0.04775520786643028
