Name,Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adagrad,28,2,34,30,0.0065988562438707415,82,0.16799810528755188
Adamax,31,3,64,21,0.0019227697957904868,116,0.04884977638721466
Adamax,16,2,62,16,0.00986438775044287,90,0.03323536738753319
Adadelta,26,1,42,17,0.004277288406017892,121,2.2496163845062256
Adagrad,26,1,56,28,0.00864676982069253,98,0.42775991559028625
SGD,30,2,55,22,0.005103106259540871,117,0.3096444308757782
Adagrad,26,2,51,28,0.009870085045736962,60,0.10416088998317719
Adamax,17,1,42,30,0.006766106119902574,100,0.27085188031196594
Adagrad,24,1,36,19,0.005887401385878311,124,0.528023898601532
Adamax,30,1,37,21,0.0010891821813019912,108,0.36366868019104004
SGD,16,2,44,23,0.00470620742634853,44,0.20361198484897614
Adagrad,24,2,55,32,0.00018266692188249515,98,2.2613649368286133
Adamax,21,1,57,32,0.0019889395833874593,51,0.26788297295570374
SGD,22,2,50,30,0.0007540159421025518,92,2.0739541053771973
Adamax,24,1,32,17,0.005757272900806109,53,0.2888924479484558
Adadelta,26,3,42,16,0.009081931431152494,70,0.7116518616676331
Adafactor,27,2,58,16,0.006222498907967973,63,nan
Nadam,32,3,35,16,0.002704056124833452,95,0.027330264449119568
Adafactor,32,2,48,30,0.004021968686812295,83,nan
Nadam,22,3,55,18,0.0006943110637436059,111,0.04981732740998268
Ftrl,31,3,54,20,0.004254601714885843,88,2.301297903060913
RMSprop,21,1,41,25,0.006470096076640018,64,0.26886284351348877
SGD,22,3,60,22,0.008338804680532852,59,0.11771848052740097
Adagrad,23,1,57,30,0.00658774181926851,82,0.46043580770492554
Adam,25,3,62,18,0.008850891267070683,77,0.03920552134513855
SGD,24,2,63,30,0.007689189571481338,123,0.2869276702404022
Adafactor,20,1,62,22,0.003258052694000836,90,nan
Ftrl,27,3,60,22,0.007072802642607209,108,2.301208019256592
Adafactor,22,3,47,30,0.005815656964040253,71,nan
Nadam,26,2,55,26,0.005020585850012397,82,0.032735180109739304
Adamax,32,1,62,32,0.003447141545905816,125,0.26056602597236633
RMSprop,24,2,48,29,0.003136124024371012,106,0.031551241874694824
Ftrl,30,2,32,26,0.0009210275330064597,70,2.301989793777466
SGD,32,2,39,16,0.004971516205847447,88,0.31048691272735596
Nadam,24,1,64,17,0.008568580093105824,93,0.2803054749965668
AdamW,18,2,64,32,0.00017162944309337294,53,0.10055682063102722
Adadelta,29,2,34,22,0.0018209851157584753,37,2.089040994644165
Adagrad,28,3,55,21,0.001710988928241781,41,0.23873808979988098
Adagrad,25,1,45,25,0.004897017109935096,87,0.49541527032852173
AdamW,23,1,41,20,0.005356571448354493,93,0.2646447718143463
